,count(DISTINCT(`group`)),label,note
384,2,3,unnamed4
385,83,4,unnamed4
386,102,0,vdize
387,149,2,vdize
388,3,3,vdize
389,339,4,vdize
390,761,0,Wings
391,420,2,Wings
392,49,3,Wings
393,314,4,Wings
394,302,0,world fomo
395,196,2,world fomo
396,39,3,world fomo
397,5344,4,world fomo
398,21,0,xether-2
399,5,2,xether-2
400,470,4,xether-2
